ag_update_date,ag_id,ag_name,ag_gender,ag_date_of_birth,ag_gov_id,ag_license_number,ag_license_issue_date,ag_license_expiry_date,ag_ctgry,ag_expertise_cd,ag_experience,ag_lang,ag_contact_number,ag_email,ag_address_line_1,ag_address_line_2,ag_address_line_3,ag_city,ag_district,ag_state,ag_country,ag_pin_code,ag_since,ag_service_area_type,ag_product,ag_sales_manager_id,ag_account_no,FRAUD_CLAIM_CNT_YR_1,FRAUD_CLAIM_CNT_YR_2,FRAUD_CLAIM_CNT_YR_3,TOTAL_FRAUD_CNT,FRAUD_RATIO,FRAUD_FLG,CLAIM_CNT_LAST_1_WK,CLAIM_CNT_LAST_2_WK,CLAIM_CNT_LAST_4_WK,CLAIM_CNT_YR_1,CLAIM_CNT_YR_2,CLAIM_CNT_YR_3,CLAIM_CASHLESS_CNT_YR_1,CLAIM_CASHLESS_CNT_YR_2,CLAIM_CASHLESS_CNT_YR_3,CLAIM_REIM_CNT_YR_1,CLAIM_REIM_CNT_YR_2,CLAIM_REIM_CNT_YR_3,CLAIM_APPR_CNT_YR_1,CLAIM_APPR_CNT_YR_2,CLAIM_APPR_CNT_YR_3,CLAIM_CASHLESS_APPR_CNT_YR_1,CLAIM_CASHLESS_APPR_CNT_YR_2,CLAIM_CASHLESS_APPR_CNT_YR_3,CLAIM_REJECTED_CNT_LAST_1_WK,CLAIM_REJECTED_CNT_LAST_2_WK,CLAIM_REJECTED_CNT_LAST_4_WK,CLAIM_REJECTED_RATIO_LAST_1_WK,CLAIM_REJECTED_RATIO_LAST_2_WK,CLAIM_REJECTED_RATIO_LAST_4_WK,CLAIM_REJECTED_CNT_YR_1,CLAIM_REJECTED_CNT_YR_2,CLAIM_REJECTED_CNT_YR_3,CLAIM_AMT_YR_1,CLAIM_AMT_YR_2,CLAIM_AMT_YR_3,APPROVED_AMT_YR_1,APPROVED_AMT_YR_2,APPROVED_AMT_YR_3,APPROVED_CASHLESS_AMT_YR_1,APPROVED_CASHLESS_AMT_YR_2,APPROVED_CASHLESS_AMT_YR_3,APPROVED_REIM_AMT_YR_1,APPROVED_REIM_AMT_YR_2,APPROVED_REIM_AMT_YR_3,AVG_ICR,CLAIM_DIST_HOSP_CNT_YR_1,CLAIM_DIST_HOSP_CNT_YR_2,CLAIM_DIST_HOSP_CNT_YR_3,CLAIM_REIM_APPR_CNT_YR_1,CLAIM_REIM_APPR_CNT_YR_2,CLAIM_REIM_APPR_CNT_YR_3,CLAIMED_BY_TOT_POL_CNT_YR_1,CLAIMED_BY_TOT_POL_CNT_YR_2,CLAIMED_BY_TOT_POL_CNT_YR_3,CLAIMED_POLICY_CNT_YR_1,CLAIMED_POLICY_CNT_YR_2,CLAIMED_POLICY_CNT_YR_3,CUST_CNT_YR_1,CUST_CNT_YR_2,CUST_CNT_YR_3,ICR_YR_1,ICR_YR_2,ICR_YR_3,POL_LAPSE_YR_1,POL_LAPSE_YR_2,POL_SALES_GROWTH_YR_1,POL_SALES_GROWTH_YR_2,POLICY_ACTIVE_CNT_YR_1,POLICY_ACTIVE_CNT_YR_2,POLICY_ACTIVE_CNT_YR_3,POLICY_EXP_CNT_YR_1,POLICY_EXP_CNT_YR_2,POLICY_EXP_CNT_YR_3,POLICY_REN_CNT_YR_1,POLICY_REN_CNT_YR_2,POLICY_REN_CNT_YR_3,POLICY_SOLD_CNT_YR_1,POLICY_SOLD_CNT_YR_2,POLICY_SOLD_CNT_YR_3,POLICY_SOLD_PREM_YR_1,POLICY_SOLD_PREM_YR_2,POLICY_SOLD_PREM_YR_3,POLICY_SUM_INSURED_YR_1,POLICY_SUM_INSURED_YR_2,POLICY_SUM_INSURED_YR_3,AGENT_VINTAGE,HIGH_CLAIM_RATIO_30D,MEMBER_BANKMATCH_FLG,AGENT_SHARED_BANK_MEMBER_ID,MEMBER_MOBMATCH_FLG,AGENT_SHARED_MOB_MEMBER_ID,HIGH_HOSP_OVERLAP_30D_FLG,AGENT_POL_SOLD_LAST_30D_CNT,AGT_SOLD_POL_CLAIMED_LAST30D_CNT,AGENT_TOTAL_CLAIMS_LAST_30D_CNT,AGT_TOP_HOSP_CLAIM_CNT_LAST30D,AGT_RECENT_SALE_CLAIM_RATIO_30D,AGT_HOSP_CONCENTRATION_RATIO30D,AGT_TOP_HOSP_CLAIM_CNT_LAST01Y
2025-08-12,AG1000,Ojas Bath,M,1995-10-14,VOTER-A405730,LIC/Ta/85961,2024-10-14,2025-10-16,MI,LFE,1,Hindi/English/Tamil,97300600332,ojas41@example.com,54/41- Devan Street,Saini Chowk,Street,Madurai,Madurai,Tamil Nadu,India,639819,2023-09-13,Rural,Motor,SM1047,360749505282,0,0,0,0,0.0,0,0.0,0.0,0.0,12,55,33,10,38,27,2,17,6,11,44,31,9,27,25,0.0,0.0,0.0,0.0,0.0,0.0,1,4,2,5041396.35,27478169.73,26661992.99,3482964.3200000003,19013107.71,22016710.759999998,3153322.4299999997,12969048.480000002,19393534.619999997,329641.89,6044059.2299999995,2623176.14,0.9410807747762876,11,33,24,2,17,6,0.054187192118226604,0.22167487684729065,0.23728813559322035,11,45,28,614,614,362,0.16749508566524368,0.9143367005978847,1.7414105380657348,1.0,0.8813559322033898,-100.0,-27.966101694915253,203,203,118,85,118,0.0,0.0,14,21,0.0,85,118,0.0,8151394.01,12643032.92,0.0,129519806.9,211338595.66,1.8809034907597535,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2
2025-08-12,AG1001,Renee Ramanathan,M,2000-05-29,UID-572916864709,LIC/De/31937,2022-03-30,2026-01-30,MI,HLT,6,Hindi/English,98987189841,renee73@example.com,072 Bhatt Ganj,Ghose Zila,Street,New Delhi,New Delhi,Delhi,India,110013,2018-12-12,Rural,Life,SM1001,184879848843,0,0,0,0,0.0,0,0.0,0.0,0.0,6,70,26,5,54,18,1,16,8,5,60,23,5,46,15,0.0,0.0,0.0,0.0,0.0,0.0,0,4,1,2346679.65,42327176.28,10706262.83,1170056.78,29794389.47,8842733.38,1170056.78,23952719.280000005,4687578.869999999,0.0,5841670.19,4155154.51,0.6829612824382738,6,37,23,0,14,8,0.028846153846153848,0.27884615384615385,0.18796992481203006,6,58,25,606,606,396,0.054291661007557675,1.3824858081095739,0.6121063781976898,1.0,0.8421052631578947,-100.0,-43.609022556390975,208,208,133,75,133,0.0,0.0,21,27,0.0,75,133,0.0,7104917.0200000005,14446399.67,0.0,114217446.11,230226753.96,6.633812457221081,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-08-12,AG1002,Tiya Sarma,M,2001-01-22,ADHAR-7075-8989-7691,LIC/We/24791,2025-06-19,2030-03-15,MI,HLT,2,Hindi/English/Bengali,97200997238,tiya42@example.com,H.No. 757 Madan,Karpe Circle,Street,Kolkata,Kolkata,West Bengal,India,728817,2022-12-21,Rural,Combo,SM1003,57741397336,0,0,0,0,0.0,0,0.0,0.0,1.0,11,66,23,8,58,16,3,8,7,11,58,20,8,52,14,0.0,0.0,0.0,0.0,0.0,0.0,0,3,2,8959915.84,34990895.01,19454214.14,7450989.54,24995665.73,14855851.33,6141379.390000001,22346043.87,9585510.57,1309610.15,2649621.8599999994,5270340.76,0.9207421393687301,9,36,18,3,6,6,0.05670103092783505,0.28865979381443296,0.16260162601626016,11,56,20,575,575,360,0.3743376616187476,1.2557820689105499,1.1321066875768926,1.0,0.926829268292683,-100.0,-42.27642276422765,194,194,123,71,123,0.0,0.0,9,28,0.0,71,123,0.0,6782154.57,13122306.84,0.0,107343275.07000001,205898402.0,2.6091718001368926,0,0,0,0,0,1,0.0,0.0,1.0,1.0,0.0,1.0,3
2025-08-12,AG1003,Zara Sahota,F,1977-08-04,UID-766006838570,LIC/Ta/11988,2020-06-08,2026-01-13,BO,LFE,17,Hindi/English/Tamil,97164817135,zara25@example.com,697- Choudhry Zila,Chandran Street,Street,Chennai,Chennai,Tamil Nadu,India,681588,2007-11-19,Urban,Combo,SM1008,973433006231,0,0,0,0,0.0,0,0.0,0.0,0.0,15,56,29,14,40,22,1,16,7,14,48,23,13,35,17,0.0,0.0,0.0,0.0,0.0,0.0,0,6,1,8608703.94,45448713.34,17350184.009999998,6553075.01,31281558.36,12490681.74,5757514.930000001,24869824.559999995,7929122.82,795560.08,6411733.8,4561558.92,0.9259515422191177,14,36,24,1,13,6,0.06912442396313365,0.21658986175115208,0.22608695652173913,15,47,26,615,615,318,0.305881527050463,1.4601466983169749,1.0118264012899152,1.0,0.8495575221238938,-100.0,-11.304347826086957,217,217,115,104,113,0.0,0.0,17,28,0.0,102,115,0.0,9078883.8,12344688.5,0.0,153718788.53,197581258.57,17.697467488021903,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2
2025-08-12,AG1004,Ishaan Mandal,F,1975-02-24,ADHAR-8885-5762-6470,LIC/We/69883,2020-04-12,2026-03-11,MI,GEN,15,Hindi/English/Bengali,99897672450,ishaan65@example.com,H.No. 770- Goyal,Sundaram Chowk,Street,Kolkata,Kolkata,West Bengal,India,787855,2010-01-28,Urban,Life,SM1041,837022573181,0,0,0,0,0.0,0,0.0,0.0,0.0,14,46,30,11,31,21,3,15,9,11,38,23,9,26,16,0.0,0.0,0.0,0.0,0.0,0.0,0,5,4,13065271.290000001,28984154.919999998,12725296.209999999,11460174.379999999,15971634.950000001,8173762.51,2960591.65,11046500.08,6224042.24,8499582.73,4925134.87,1949720.27,0.6897094347951831,13,30,20,2,12,7,0.0663265306122449,0.20408163265306123,0.203125,13,40,26,544,544,363,0.5966959828956543,0.8315938395817705,0.6408384819081245,1.0,0.890625,-100.0,-46.875,196,196,128,68,128,0.0,0.0,14,21,0.0,68,128,0.0,6451259.0,12754793.51,0.0,110429094.88,203198450.37,15.50444900752909,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2
2025-08-12,AG1005,Riaan Srinivasan,M,1986-12-13,ADHAR-9732-6226-7361,LIC/Ka/75758,2019-05-25,2026-07-16,CO,LFE,6,Hindi/English/Kannada,97546402292,riaan53@example.com,76/582 Sandal Zila,Garde,Street,Bangalore,Bangalore,Karnataka,India,575653,2018-09-01,Urban,Life,SM1040,676295967196,0,1,0,1,0.009615384615384616,1,0.0,0.0,0.0,16,60,28,12,44,22,4,16,6,14,56,25,10,41,19,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,12906677.16,51724263.769999996,14431011.87,6639978.87,38427086.59,9923985.67,4503654.54,30304474.36,8200555.449999999,2136324.33,8122612.2299999995,1723430.22,1.0412689825644315,14,38,22,4,15,6,0.06763285024154589,0.24154589371980675,0.1951219512195122,14,50,24,616,616,371,0.3245813887271717,1.878427232121821,0.9207983268443014,1.0,0.8130081300813008,-100.0,-31.70731707317073,207,207,123,84,123,0.0,0.0,23,22,0.0,84,123,0.0,9679464.88,10777588.73,0.0,157554678.25,180519643.31,6.913073237508556,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2
2025-08-12,AG1006,Dhruv Apte,F,1969-01-31,UID-418990068467,LIC/We/89606,2022-06-04,2025-11-06,IM,GEN,6,Hindi/English/Bengali,99701068925,dhruv18@example.com,H.No. 928 Yadav Marg,Kala Nagar,Street,Howrah,Howrah,West Bengal,India,733659,2019-08-08,Rural,Combo,SM1007,449142242201,0,0,0,0,0.0,0,0.0,0.0,1.0,16,56,21,11,40,19,5,16,2,11,49,17,8,35,15,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,12703695.31,37195003.33,11980656.120000001,8344735.890000001,28550605.54,8714859.08,7169419.41,20748474.12,8553269.41,1175316.48,7802131.42,161589.66999999998,0.9677356247040483,14,35,16,3,14,2,0.08021390374331551,0.25133689839572193,0.18018018018018017,15,47,20,565,565,329,0.44854156555405017,1.5346361437003775,0.9200291648577174,1.0,0.8828828828828829,-100.0,-31.53153153153153,187,187,111,76,111,0.0,0.0,13,26,0.0,76,111,0.0,9131780.32,9472372.63,0.0,138843626.5,152585307.78,5.979466119096509,0,0,0,0,0,1,0.0,0.0,1.0,1.0,0.0,1.0,2
2025-08-12,AG1007,Zoya Sami,F,1995-01-31,VOTER-D759754,LIC/De/43492,2013-01-09,2027-12-18,BO,LFE,18,Hindi/English,99071306382,zoya17@example.com,79/966 Desai Road,Lata Circle,Street,New Delhi,New Delhi,Delhi,India,110026,2007-03-18,Rural,Health,SM1021,200442959580,0,0,0,0,0.0,0,0.0,0.0,0.0,11,54,33,7,41,23,4,13,10,10,50,31,6,37,22,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,5008980.890000001,35224029.0,21940410.48,3437043.6,26399695.62,18306968.16,2946486.48,20314826.009999998,13394898.429999998,490557.12,6084869.610000001,4912069.7299999995,0.736062659640866,10,29,23,4,13,9,0.052132701421800945,0.22274881516587677,0.2248062015503876,11,47,29,638,638,385,0.12980201186223145,0.9970003301751945,1.0813856368851722,1.0,0.875968992248062,-100.0,-36.434108527131784,211,211,129,82,129,0.0,0.0,16,26,0.0,82,129,0.0,9549947.89,16929176.36,0.0,146439994.23,258709014.71,18.3709787816564,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2
2025-08-12,AG1008,Fateh Saini,M,1992-06-24,VOTER-B115921,LIC/Ta/22062,2021-10-07,2026-05-04,IM,GEN,11,Hindi/English/Tamil,97210843047,fateh33@example.com,483 Ravel Nagar,Agate Zila,Street,Coimbatore,Coimbatore,Tamil Nadu,India,656002,2014-06-02,Urban,Combo,SM1040,301500279594,0,0,0,0,0.0,0,0.0,0.0,0.0,13,55,42,11,38,33,2,17,9,11,48,36,9,33,28,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,7971806.6,33816234.88,21034820.28,5887867.890000001,26881261.7,15902810.99,5166469.960000001,16384287.65,12865313.79,721397.93,10496974.049999999,3037497.2,0.9729390226283569,12,28,31,2,15,8,0.06280193236714976,0.2222222222222222,0.24,13,46,30,618,618,382,0.2833385256956885,1.2935917043678737,1.3418868378215083,1.0,0.856,-100.0,-34.4,207,207,125,82,125,0.0,0.0,18,28,0.0,82,125,0.0,8929247.35,11851082.03,0.0,140417359.44,203240857.8,11.162217659137577,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2
2025-08-12,AG1009,Sana Dasgupta,F,1990-09-16,UID-854536012346,LIC/De/96251,2017-12-09,2027-05-20,IM,LFE,14,Hindi/English,98528057374,sana26@example.com,H.No. 21 Bedi Chowk,Bora Circle,Street,New Delhi,New Delhi,Delhi,India,110036,2011-02-14,Urban,Motor,SM1046,507027124136,0,1,0,1,0.011363636363636364,1,0.0,0.0,1.0,9,50,29,7,39,17,2,11,12,7,43,26,5,34,15,0.0,0.0,0.0,0.0,0.0,0.0,0,3,2,3310148.17,40283652.17,12823278.13,2330175.2600000002,34036292.2,8452427.08,1478398.11,31035938.09,5740058.17,851777.15,3000354.1100000003,2712368.91,0.7569483551387126,9,31,21,2,9,11,0.04568527918781726,0.22842639593908629,0.19230769230769232,9,45,25,553,553,373,0.10768675561869205,1.5729537358094663,0.5902045739879795,1.0,0.8992248062015504,-100.0,-48.46153846153846,197,197,130,68,129,0.0,0.0,13,14,0.0,67,130,0.0,7317275.34,14321181.93,0.0,115195132.91,228831716.55,14.458590006844627,0,0,0,0,0,1,0.0,0.0,1.0,1.0,0.0,1.0,1
