ag_update_date,ag_id,ag_name,ag_gender,ag_date_of_birth,ag_gov_id,ag_license_number,ag_license_issue_date,ag_license_expiry_date,ag_ctgry,ag_expertise_cd,ag_experience,ag_lang,ag_contact_number,ag_email,ag_address_line_1,ag_address_line_2,ag_address_line_3,ag_city,ag_district,ag_state,ag_country,ag_pin_code,ag_since,ag_service_area_type,ag_product,ag_sales_manager_id,ag_account_no
2025-07-29,AG1000,Nakul Maharaj,F,1966-12-16,ADHAR-8569-3396-5897,LIC/Ta/77104,2014-05-24,2029-04-27,CO,LFE,17,Hindi/English/Tamil,99489623336,nakul93@example.com,67/964- Datta,Bawa Nagar,Street,Madurai,Madurai,Tamil Nadu,India,699428,2007-12-21,Urban,Combo,SM1028,917272786471
2025-07-29,AG1001,Miraan Kibe,M,1991-06-21,ADHAR-2639-2607-7948,LIC/We/55602,2022-06-07,2028-01-10,BO,HLT,13,Hindi/English/Bengali,99626312843,miraan17@example.com,28/94- Bera Zila,Rastogi,Street,Howrah,Howrah,West Bengal,India,743223,2012-05-04,Rural,Life,SM1019,261307388692
2025-07-29,AG1002,Hunar Swamy,M,1968-02-18,VOTER-B428015,LIC/Ka/14442,2017-08-21,2030-01-19,MI,LFE,12,Hindi/English/Kannada,97837566445,hunar85@example.com,H.No. 00- Dugar Ganj,Deo Chowk,Street,Bangalore,Bangalore,Karnataka,India,577904,2013-04-29,Urban,Motor,SM1020,568450066284
2025-07-29,AG1003,Tiya Sandal,M,1971-08-09,VOTER-D778331,LIC/De/15634,2014-11-11,2028-08-28,IM,GEN,13,Hindi/English,97587652986,tiya57@example.com,85- Kothari Road,Gera Nagar,Street,New Delhi,New Delhi,Delhi,India,110071,2012-06-08,Urban,Combo,SM1038,567765625766
2025-07-29,AG1004,Neelofar Raman,F,2002-07-26,ADHAR-5165-2840-8402,LIC/We/99860,2024-01-24,2029-04-13,PO,GEN,6,Hindi/English/Bengali,98288970882,neelofar37@example.com,H.No. 016 Bumb Circle,Rao Zila,Street,Howrah,Howrah,West Bengal,India,749248,2019-02-22,Urban,Motor,SM1001,450838251558
2025-07-29,AG1005,Keya Tripathi,F,1967-08-24,UID-835897218452,LIC/Ka/92629,2022-06-29,2026-02-24,IM,HLT,4,Hindi/English/Kannada,98437482413,keya20@example.com,78/53 Suri Road,Issac Ganj,Street,Mysore,Mysore,Karnataka,India,564365,2020-08-25,Urban,Life,SM1041,017263034467
2025-07-29,AG1006,Indranil Ray,F,1976-01-09,ADHAR-6079-5988-7701,LIC/De/34759,2011-02-17,2029-11-25,MI,HLT,17,Hindi/English,97462157120,indranil24@example.com,763- Agate Marg,Balakrishnan Road,Street,New Delhi,New Delhi,Delhi,India,110079,2008-05-28,Urban,Combo,SM1032,107790477829
2025-07-29,AG1007,Madhav Singhal,M,2000-10-20,UID-225799559191,LIC/We/45001,2019-02-11,2027-11-23,IM,GEN,13,Hindi/English/Bengali,99086165568,madhav34@example.com,85/974- Maharaj Marg,Kulkarni Ganj,Street,Kolkata,Kolkata,West Bengal,India,738792,2011-12-08,Urban,Life,SM1016,407433890281
2025-07-29,AG1008,Faiyaz Hora,F,1979-06-17,VOTER-D602469,LIC/De/53496,2021-01-06,2028-10-19,CO,GEN,11,Hindi/English,99023978851,faiyaz94@example.com,H.No. 67 Khurana Circle,Randhawa Marg,Street,New Delhi,New Delhi,Delhi,India,110020,2014-03-20,Urban,Combo,SM1010,316362019006
2025-07-29,AG1009,Miraan Ravel,F,1972-03-29,UID-664968845143,LIC/Ma/20751,2025-03-17,2029-01-14,CO,LFE,0,Hindi/English/Marathi,99380652109,miraan69@example.com,00- Saini Road,Arya Nagar,Street,Mumbai,Mumbai,Maharashtra,India,401588,2024-12-26,Urban,Health,SM1047,370623309583
2025-07-29,AG1010,Rati Buch,F,2001-03-11,VOTER-D448264,LIC/Ka/55650,2023-07-13,2029-04-07,MI,HLT,2,Hindi/English/Kannada,98417818521,rati90@example.com,38/14 Kashyap Ganj,Konda Zila,Street,Mysore,Mysore,Karnataka,India,572675,2023-01-11,Rural,Health,SM1034,151473134266
2025-07-29,AG1011,Baiju Dewan,F,1996-05-30,VOTER-A859422,LIC/Ka/23186,2010-11-11,2026-08-31,PO,GEN,17,Hindi/English/Kannada,99612744683,baiju82@example.com,H.No. 741 Tara Path,Date Street,Street,Bangalore,Bangalore,Karnataka,India,576295,2008-06-30,Rural,Life,SM1015,884797987360
2025-07-29,AG1012,Miraan Contractor,F,1982-01-03,ADHAR-2987-1993-4633,LIC/Ma/46255,2024-10-06,2029-07-12,CO,HLT,3,Hindi/English/Marathi,98227870360,miraan96@example.com,22- Kamdar Zila,Subramaniam Path,Street,Mumbai,Mumbai,Maharashtra,India,450144,2022-02-20,Rural,Health,SM1023,502074366161
2025-07-29,AG1013,Umang Handa,F,1989-12-12,UID-337433536174,LIC/We/59156,2023-04-21,2029-08-24,MI,GEN,6,Hindi/English/Bengali,97853831579,umang26@example.com,975 Toor Ganj,Sachdev Zila,Street,Howrah,Howrah,West Bengal,India,723627,2018-10-11,Urban,Health,SM1014,663882742557
2025-07-29,AG1014,Nakul Dani,M,1983-08-14,VOTER-E881858,LIC/We/40152,2017-03-21,2027-11-03,CO,LFE,16,Hindi/English/Bengali,99354904683,nakul10@example.com,H.No. 957 Wable Path,Kari Nagar,Street,Kolkata,Kolkata,West Bengal,India,758305,2008-12-25,Urban,Motor,SM1027,136563016316
2025-07-29,AG1015,Rhea Luthra,F,1968-11-18,UID-577173846928,LIC/Ka/78252,2023-01-14,2027-02-02,BO,GEN,3,Hindi/English/Kannada,97234680816,rhea34@example.com,H.No. 560- Kapur Zila,Halder Ganj,Street,Bangalore,Bangalore,Karnataka,India,587510,2022-06-25,Rural,Motor,SM1013,928161886317
2025-07-29,AG1016,Umang Venkataraman,F,1971-12-17,VOTER-E756640,LIC/De/44848,2016-01-02,2025-09-18,PO,LFE,17,Hindi/English,97992594577,umang51@example.com,07/97 Chaudry Path,Dubey Path,Street,New Delhi,New Delhi,Delhi,India,110054,2008-07-12,Urban,Life,SM1023,092889240944
2025-07-29,AG1017,Ela Mahal,F,2001-04-19,ADHAR-1791-6153-5545,LIC/De/35318,2011-03-24,2026-12-14,PO,LFE,17,Hindi/English,99454833851,ela72@example.com,04/95- Dayal Path,Zacharia Ganj,Street,New Delhi,New Delhi,Delhi,India,110067,2008-02-28,Rural,Life,SM1031,118095089603
2025-07-29,AG1018,Taran Raj,F,1965-05-15,VOTER-D130177,LIC/Ma/48563,2021-05-23,2027-11-25,BO,LFE,15,Hindi/English/Marathi,97167108132,taran91@example.com,89/031 Borde,Balay Marg,Street,Pune,Pune,Maharashtra,India,436616,2010-02-14,Urban,Motor,SM1020,569023148163
2025-07-29,AG1019,Ivan Tank,F,2001-07-25,ADHAR-9081-1685-9275,LIC/De/97807,2010-04-21,2028-01-16,MI,LFE,19,Hindi/English,99542499973,ivan39@example.com,H.No. 317- Dhar Street,Vig Zila,Street,New Delhi,New Delhi,Delhi,India,110003,2006-07-04,Urban,Motor,SM1022,580187566944
2025-07-29,AG1020,Divij Borde,M,1996-12-31,ADHAR-5468-6620-4928,LIC/Ta/79127,2024-03-11,2027-07-04,IM,LFE,7,Hindi/English/Tamil,97339115701,divij49@example.com,51 Salvi Chowk,Shanker Path,Street,Coimbatore,Coimbatore,Tamil Nadu,India,650658,2017-08-03,Urban,Combo,SM1021,145177075525
2025-07-29,AG1021,Nishith Kumer,F,1987-12-28,ADHAR-6168-5657-6274,LIC/We/19348,2021-05-27,2028-01-11,CO,HLT,9,Hindi/English/Bengali,99684362122,nishith97@example.com,962 Kar Ganj,Gill Road,Street,Kolkata,Kolkata,West Bengal,India,761732,2016-03-03,Rural,Motor,SM1035,952296712961
2025-07-29,AG1022,Kimaya Ganesh,F,1968-10-09,UID-991143803893,LIC/We/62499,2023-06-24,2029-02-25,BO,HLT,15,Hindi/English/Bengali,98280801667,kimaya29@example.com,H.No. 40 Hayer Path,Sidhu Path,Street,Howrah,Howrah,West Bengal,India,728122,2010-07-22,Rural,Life,SM1039,702790888579
2025-07-29,AG1023,Kismat Kanda,F,1975-03-06,UID-866726958581,LIC/Ta/15321,2016-06-25,2026-01-24,IM,GEN,10,Hindi/English/Tamil,98353147227,kismat80@example.com,82/35- Loyal Chowk,Chadha Circle,Street,Madurai,Madurai,Tamil Nadu,India,628304,2015-01-01,Urban,Life,SM1020,929272221192
2025-07-29,AG1024,Jayesh Ravi,M,1973-08-28,VOTER-D822442,LIC/Ka/55066,2024-07-01,2026-04-10,PO,GEN,2,Hindi/English/Kannada,99893946171,jayesh50@example.com,05/21- Kakar Chowk,Sarin Zila,Street,Mysore,Mysore,Karnataka,India,588953,2023-07-29,Urban,Combo,SM1028,925796491414
2025-07-29,AG1025,Onkar Garg,M,1968-09-09,ADHAR-2106-6065-8246,LIC/De/35183,2022-09-11,2026-02-16,MI,GEN,3,Hindi/English,98493225656,onkar32@example.com,895- Dhawan Ganj,Chakraborty Path,Street,New Delhi,New Delhi,Delhi,India,110007,2022-05-20,Urban,Motor,SM1022,205119445366
2025-07-29,AG1026,Keya Sundaram,M,1979-12-23,VOTER-D142002,LIC/Ta/19964,2023-11-20,2027-03-15,CO,HLT,3,Hindi/English/Tamil,99776706303,keya59@example.com,10- Sangha Ganj,Mahajan,Street,Coimbatore,Coimbatore,Tamil Nadu,India,693947,2022-06-01,Rural,Life,SM1022,787405808272
2025-07-29,AG1027,Urvi Arora,M,1998-02-28,VOTER-D647626,LIC/We/68059,2013-07-31,2025-11-03,CO,GEN,15,Hindi/English/Bengali,98893563432,urvi17@example.com,916 Chowdhury Path,Rau Circle,Street,Kolkata,Kolkata,West Bengal,India,739293,2009-08-31,Rural,Life,SM1044,536343378398
2025-07-29,AG1028,Diya Tata,F,1997-03-26,VOTER-C551905,LIC/Ma/55920,2014-04-08,2030-02-10,CO,LFE,18,Hindi/English/Marathi,99441079588,diya16@example.com,18/03 Manda Circle,Randhawa Chowk,Street,Nagpur,Nagpur,Maharashtra,India,444100,2007-05-06,Urban,Motor,SM1011,732006751277
2025-07-29,AG1029,Nayantara Bali,F,2002-12-12,ADHAR-4355-3394-3381,LIC/De/23678,2025-05-30,2026-10-30,IM,HLT,0,Hindi/English,97353517742,nayantara65@example.com,54 Comar Nagar,Khalsa Ganj,Street,New Delhi,New Delhi,Delhi,India,110005,2024-11-08,Rural,Life,SM1004,935936624015
2025-07-29,AG1030,Sahil Bawa,M,1966-11-22,UID-766682908311,LIC/Ta/39568,2024-06-29,2025-11-13,CO,GEN,13,Hindi/English/Tamil,97850750096,sahil36@example.com,13- Bail Circle,Chakrabarti Zila,Street,Coimbatore,Coimbatore,Tamil Nadu,India,652455,2011-09-30,Urban,Life,SM1034,511756339412
2025-07-29,AG1031,Priyansh Kulkarni,F,1979-12-28,UID-499700110756,LIC/Ta/11879,2023-08-21,2028-07-07,CO,HLT,19,Hindi/English/Tamil,99427558126,priyansh21@example.com,H.No. 485- Mand Road,Upadhyay Path,Street,Madurai,Madurai,Tamil Nadu,India,637449,2006-02-14,Rural,Motor,SM1011,822518059875
2025-07-29,AG1032,Anahita Solanki,M,1983-06-30,UID-825448666452,LIC/Ka/85323,2022-05-31,2028-09-30,IM,HLT,11,Hindi/English/Kannada,97380951302,anahita31@example.com,37/866 Reddy Zila,Sethi Circle,Street,Mysore,Mysore,Karnataka,India,588692,2014-04-22,Rural,Motor,SM1027,299847476380
2025-07-29,AG1033,Aarav Taneja,M,1984-08-12,VOTER-E839236,LIC/Ma/29319,2021-12-04,2029-11-01,IM,GEN,4,Hindi/English/Marathi,98699743887,aarav20@example.com,57 Mane Nagar,Raman Street,Street,Mumbai,Mumbai,Maharashtra,India,471307,2020-10-29,Urban,Life,SM1003,337561988264
2025-07-29,AG1034,Nitara Master,F,1977-05-15,UID-986420087101,LIC/We/94753,2025-02-17,2028-09-16,IM,HLT,2,Hindi/English/Bengali,97838686981,nitara46@example.com,55/937- Chauhan Chowk,Chander Ganj,Street,Kolkata,Kolkata,West Bengal,India,720633,2023-02-20,Urban,Motor,SM1028,234486846047
2025-07-29,AG1035,Eshani Ghose,F,1989-05-20,VOTER-E618670,LIC/Ta/46068,2024-06-11,2026-01-17,PO,GEN,2,Hindi/English/Tamil,98367083572,eshani67@example.com,012- Biswas Marg,Chahal,Street,Madurai,Madurai,Tamil Nadu,India,639117,2022-09-08,Urban,Motor,SM1009,440008489726
2025-07-29,AG1036,Anya Acharya,M,1973-07-20,ADHAR-9415-8564-2053,LIC/Ma/78367,2012-06-20,2028-12-26,CO,GEN,14,Hindi/English/Marathi,97326994740,anya27@example.com,714- Rajagopal Street,Reddy Chowk,Street,Mumbai,Mumbai,Maharashtra,India,417927,2010-08-17,Urban,Motor,SM1017,742132865882
2025-07-29,AG1037,Shayak Rajagopal,M,1968-04-27,VOTER-D400405,LIC/We/27660,2022-02-04,2030-07-05,IM,LFE,3,Hindi/English/Bengali,99385661529,shayak75@example.com,H.No. 41- Kara Ganj,Chad Ganj,Street,Howrah,Howrah,West Bengal,India,795459,2021-11-24,Urban,Life,SM1020,894494906629
2025-07-29,AG1038,Bhavin Thakkar,F,1998-07-30,VOTER-E303632,LIC/De/65337,2024-08-16,2028-05-20,IM,LFE,2,Hindi/English,99842737045,bhavin44@example.com,502 Wadhwa Nagar,Char Zila,Street,New Delhi,New Delhi,Delhi,India,110005,2022-12-13,Rural,Health,SM1049,518283348153
2025-07-29,AG1039,Elakshi Kaur,F,1980-03-28,ADHAR-4602-5384-5728,LIC/We/28651,2009-07-02,2026-02-26,CO,LFE,19,Hindi/English/Bengali,98790123637,elakshi69@example.com,H.No. 661- Barad Ganj,Raja Nagar,Street,Howrah,Howrah,West Bengal,India,788064,2005-10-06,Rural,Life,SM1024,258732644638
2025-07-29,AG1040,Nirvaan Balan,F,1989-06-01,UID-314852906357,LIC/Ta/76156,2016-12-02,2029-11-14,MI,GEN,19,Hindi/English/Tamil,98557648723,nirvaan42@example.com,94- Tank Path,Bahri Circle,Street,Coimbatore,Coimbatore,Tamil Nadu,India,603884,2005-10-28,Rural,Life,SM1049,904596688771
2025-07-29,AG1041,Jhanvi Soman,F,1970-08-16,VOTER-A888952,LIC/Ma/11242,2022-06-10,2030-01-27,BO,HLT,8,Hindi/English/Marathi,99992541114,jhanvi52@example.com,91/535- Dar Chowk,Karan,Street,Pune,Pune,Maharashtra,India,477752,2017-07-07,Rural,Motor,SM1017,241653051068
2025-07-29,AG1042,Armaan Ratti,F,1973-01-28,UID-741517964771,LIC/Ka/77983,2022-08-31,2025-11-30,MI,LFE,3,Hindi/English/Kannada,98502553348,armaan30@example.com,088 Ganesh Chowk,Bali Road,Street,Bangalore,Bangalore,Karnataka,India,574295,2021-09-02,Rural,Motor,SM1019,699169687265
2025-07-29,AG1043,Prisha Comar,F,1991-12-18,ADHAR-2980-2535-1367,LIC/Ta/25618,2023-08-16,2030-03-07,PO,GEN,4,Hindi/English/Tamil,98612996245,prisha65@example.com,72/171- Dhar Zila,Chahal Circle,Street,Madurai,Madurai,Tamil Nadu,India,661964,2021-01-06,Rural,Life,SM1011,584898565742
2025-07-29,AG1044,Adira Ganesh,M,1994-12-28,VOTER-D577485,LIC/Ma/15505,2018-12-27,2028-05-16,IM,GEN,17,Hindi/English/Marathi,97216269463,adira59@example.com,094- Bhatti Circle,Sandhu Chowk,Street,Pune,Pune,Maharashtra,India,418447,2008-03-11,Rural,Life,SM1020,693182063545
2025-07-29,AG1045,Adira Setty,M,1975-11-05,VOTER-B776411,LIC/De/16797,2021-07-15,2028-03-22,CO,GEN,9,Hindi/English,97502517898,adira76@example.com,683- Golla Chowk,Kalla Circle,Street,New Delhi,New Delhi,Delhi,India,110065,2015-08-13,Urban,Health,SM1046,254009999740
2025-07-29,AG1046,Raghav Venkatesh,M,1987-05-26,ADHAR-3850-4895-1588,LIC/Ka/45677,2024-12-18,2030-04-16,CO,GEN,7,Hindi/English/Kannada,98454629499,raghav31@example.com,56/44 Wadhwa Circle,Shanker Ganj,Street,Mysore,Mysore,Karnataka,India,582754,2018-01-06,Urban,Health,SM1007,738712888760
2025-07-29,AG1047,Jhanvi Rama,M,1989-06-14,VOTER-B833209,LIC/Ma/16708,2019-08-28,2027-12-12,BO,LFE,17,Hindi/English/Marathi,97277235108,jhanvi25@example.com,H.No. 11 Tiwari Circle,Deep Zila,Street,Mumbai,Mumbai,Maharashtra,India,440050,2007-12-15,Urban,Life,SM1034,637310139252
2025-07-29,AG1048,Advika Saini,M,1973-04-06,ADHAR-7208-3820-7016,LIC/We/11382,2019-10-20,2029-11-14,PO,HLT,14,Hindi/English/Bengali,97687100998,advika59@example.com,H.No. 36 Wadhwa Chowk,Manda Chowk,Street,Kolkata,Kolkata,West Bengal,India,710504,2011-03-09,Urban,Motor,SM1018,377956855542
2025-07-29,AG1049,Suhana Walia,M,1975-07-22,UID-646572308665,LIC/Ka/30784,2017-03-10,2029-08-04,CO,HLT,14,Hindi/English/Kannada,97036138167,suhana40@example.com,833 Rout Circle,Lalla Ganj,Street,Mysore,Mysore,Karnataka,India,570800,2010-12-02,Urban,Health,SM1039,805807534298
2025-07-29,AG1050,Abram Varghese,M,1991-02-02,VOTER-A931363,LIC/Ta/20790,2022-05-07,2027-10-07,IM,HLT,3,Hindi/English/Tamil,99952414408,abram19@example.com,19 Rau,Mahajan Street,Street,Madurai,Madurai,Tamil Nadu,India,693942,2021-12-18,Urban,Motor,SM1027,617442388739
2025-07-29,AG1051,Mamooty Golla,F,1993-01-26,VOTER-A443595,LIC/We/63334,2023-05-14,2030-01-18,BO,LFE,5,Hindi/English/Bengali,98340932945,mamooty83@example.com,99- Shan Marg,Dhillon Circle,Street,Kolkata,Kolkata,West Bengal,India,744108,2019-12-31,Urban,Life,SM1028,489553970187
2025-07-29,AG1052,Aarush Bava,F,1966-05-24,UID-239209413599,LIC/Ka/68531,2024-03-30,2025-08-04,BO,HLT,2,Hindi/English/Kannada,97751522106,aarush37@example.com,73/241- Dass Ganj,Bhatia Marg,Street,Mysore,Mysore,Karnataka,India,565233,2023-06-15,Urban,Health,SM1040,953686833567
2025-07-29,AG1053,Adira Ram,F,1964-12-14,VOTER-D610323,LIC/Ma/68753,2023-11-17,2026-01-21,MI,LFE,17,Hindi/English/Marathi,97926411108,adira12@example.com,H.No. 99 Shenoy Circle,Bhagat,Street,Nagpur,Nagpur,Maharashtra,India,416096,2007-09-26,Urban,Life,SM1007,475246867075
