mem_id,mem_tpa_member_id,mem_type,mem_first_name,mem_middle_name,mem_last_name,mem_full_name,mem_dob,mem_dod,mem_gender,mem_marital_status,mem_nationality,mem_citizenship_status,mem_occupation,mem_educational_qualification,mem_permanent_address_line1,mem_permanent_address_line2,mem_permanent_address_line3,mem_permanent_landmark,mem_permanent_city,mem_permanent_district,mem_permanent_state,mem_permanent_country,mem_permanent_pin_code,mem_communication_address_line1,mem_communication_address_line2,mem_communication_address_line3,mem_communication_landmark,mem_communication_city,mem_communication_district,mem_communication_state,mem_communication_country,mem_communication_pin_code,mem_telephone_type_1,mem_telephone_number_1,mem_telephone_type_2,mem_telephone_number_2,mem_email_1,mem_email_2,mem_acc_no,mem_late_enrollment_flag,mem_ped_non_discl_rem_flag,mem_chronic_disease_ind
MEMBER-000001,TPA-891025,I,,,Banik,Samiha Mani,1974-04-03,,F,S,Indian,R,RETIRED,08,54/322- Mallick Nagar,Agate Marg,Bidar,Near Barman Road,Lucknow,Sirsa,Tripura,India,353163,98 Chanda Nagar,Agate Marg,Bidar,Near Barman Road,Lucknow,Sirsa,Kerala,India,353163,H,2160087352,,,drau@example.org,,952998157905,No,0,0
MEMBER-000002,TPA-594072,I,Gatik,Misha,Sampath,Anya Rajagopal,1965-01-14,,M,M,Indian,R,ENGINEER,04,070- Bakshi Nagar,Dave Nagar,Navi Mumbai,Behind Mall,Mehsana,Bhubaneswar,Punjab,India,337461,070- Bakshi Nagar,Dave Nagar,Ballia,Behind Mall,Bardhaman,Bhubaneswar,Punjab,India,337461,H,+916910112925,H,0507373762,drishya48@example.org,rania03@example.com,754790040004,No,0,0
MEMBER-000003,TPA-903765,I,,Emir,,Vanya Char,1981-01-10,,M,M,Indian,N,ENGINEER,05,H.No. 50 Setty Zila,Sastry Nagar,Kota,"Opposite Kapadia, Ramachandran and Dixit",Anand,Tadepalligudem,Goa,India,882528,H.No. 50 Setty Zila,Sastry Nagar,Bhalswa Jahangir Pur,"Opposite Kapadia, Ramachandran and Dixit",Loni,Tadepalligudem,Goa,India,882528,H,+917634283346,H,+912133946685,jmander@example.net,,581322080804,No,0,0
MEMBER-000004,TPA-317786,I,Ela,,Sangha,Devansh Vig,1997-07-23,,M,S,Indian,R,ENGINEER,09,H.No. 533- Karpe Nagar,Grover Nagar,Panihati,Near Date,Ozhukarai,Raichur,Uttar Pradesh,India,614201,H.No. 533- Karpe Nagar,Grover Nagar,Panihati,Near Date,Ozhukarai,Raichur,Uttar Pradesh,India,691070,M,05535359134,,01830966713,drishyagopal@example.com,mohanlalsanghvi@example.net,631728804985,No,0,0
MEMBER-000005,TPA-783399,B,Riaan,,Jayaraman,Vaibhav Kari,1952-09-22,2017-11-13,F,M,Indian,O,MANAGER,03,H.No. 294- Dora Path,Yogi Ganj,Malda,Near Chaudry Circle,Bathinda,Kanpur,Kerala,India,038204,048 Chatterjee Zila,Yogi Ganj,Bellary,Near Chaudry Circle,Bathinda,Kanpur,Meghalaya,India,038204,M,01883162196,H,,nehmatcontractor@example.net,,090339849916,No,0,0
MEMBER-000006,TPA-914697,I,Kanav,Divyansh,Kara,Diya Wali,1991-03-27,,F,M,Indian,R,STUDENT,03,63/51- Swaminathan Street,Rout Zila,Tumkur,,Bally,Kamarhati,Haryana,India,822803,63/51- Swaminathan Street,Rout Zila,Secunderabad,,Bally,Kamarhati,Haryana,India,822803,O,05516488475,,07855702385,royrhea@example.net,lshukla@example.org,980303992418,No,0,0
MEMBER-000007,TPA-318062,I,,,Johal,Chirag Sibal,1994-02-15,,F,S,Indian,R,MANAGER,08,146- Sathe Road,Ranganathan Marg,Karaikudi,Near Deo Path,Dewas,Mysore,Chhattisgarh,India,492922,146- Sathe Road,Ranganathan Marg,Ramgarh,Near Divan Street,Dewas,Mysore,Chhattisgarh,India,492922,M,03491802303,,05328059088,zara86@example.org,itoor@example.net,503821389267,No,0,1
MEMBER-000008,TPA-162280,I,Siya,Stuvan,,Ryan Tank,1955-08-28,,F,S,Indian,O,ENGINEER,01,H.No. 28- Sandal Circle,Dyal Street,Asansol,Opposite Wable-Mallick,Mahbubnagar,Rajkot,Andhra Pradesh,India,761447,H.No. 28- Sandal Circle,Ramaswamy Nagar,Asansol,Opposite Wable-Mallick,Mahbubnagar,Nagaon,Punjab,India,761447,H,+916633795124,,7209567435,cbera@example.com,,137048671596,No,0,0
MEMBER-000009,TPA-752204,I,Yasmin,Elakshi,Kadakia,Zain Aggarwal,2000-04-18,,F,M,Indian,R,STUDENT,02,288- Korpal Chowk,Bali Marg,Morena,Near Sant Zila,Bhagalpur,Bellary,Karnataka,India,942998,288- Korpal Chowk,Bali Marg,Morena,Near Sant Zila,Sultan Pur Majra,Bally,Karnataka,India,942998,H,9626511840,,,amanisarna@example.net,,528996840849,No,0,0
MEMBER-000010,TPA-716940,B,Himmat,Lagan,Loke,Raunak Sibal,1979-06-24,,M,M,Indian,R,TEACHER,08,599- Varkey Nagar,Madan Zila,Guwahati,"Opposite Ganesan, Karnik and Sachdeva",Shimoga,Kadapa,Uttarakhand,India,640159,599- Varkey Nagar,Madan Zila,Guwahati,"Opposite Ganesan, Karnik and Sachdeva",Shimoga,Kadapa,Uttarakhand,India,640159,H,06108036564,H,9090475097,ddhaliwal@example.org,jayanmaster@example.org,110398140434,No,0,0
MEMBER-000011,TPA-161015,I,Mamooty,Ojas,Bahri,Tara Sastry,1990-01-09,,M,M,Indian,R,TEACHER,05,H.No. 951- Jayaraman Zila,Chanda Street,Bharatpur,,Etawah,Durg,Meghalaya,India,200977,H.No. 951- Jayaraman Zila,Chanda Street,Bharatpur,,Etawah,Durg,Meghalaya,India,200977,M,+919324038619,,08042993413,onkardara@example.net,,855811127156,No,0,0
MEMBER-000012,TPA-927081,I,Arnav,Kaira,Behl,Indrans Jha,1983-09-07,,M,M,Indian,R,BUSINESS,06,H.No. 120- Seshadri Path,Ravi Zila,Shimoga,,Hindupur,Gangtok,Kerala,India,350245,H.No. 120- Seshadri Path,Ravi Zila,Shimoga,,Hindupur,Gangtok,Kerala,India,936412,H,08230623395,H,3450436610,arnav15@example.org,,226423704375,No,0,0
MEMBER-000013,TPA-133888,I,Amira,Mahika,Mann,Kiaan Ram,1951-07-21,,M,M,Indian,F,TEACHER,04,98 Gera Path,Gera Ganj,Mango,Behind School,Jaunpur,Anand,Kerala,India,462761,98 Gera Path,Saha Street,Kollam,Opposite Suresh-Deol,Jaunpur,Anand,Kerala,India,462761,M,+911099285563,H,05309817452,kimaya29@example.com,,566676213237,No,0,0
MEMBER-000014,TPA-774601,I,,Aarna,Borah,Kanav Shan,1968-09-16,,M,M,Indian,R,DOCTOR,04,71- Kota Path,Bhagat Nagar,Dharmavaram,Opposite Seth LLC,Tiruvottiyur,New Delhi,Gujarat,India,734049,71- Kota Path,Bhagat Nagar,Dharmavaram,Opposite Seth LLC,Tiruvottiyur,Ramagundam,Gujarat,India,734049,M,+910222369562,H,,miraan91@example.com,wshenoy@example.net,919680220212,No,0,1
MEMBER-000015,TPA-852486,I,Hansh,Kismat,Kibe,Romil Suresh,2000-01-04,2024-10-26,F,M,Indian,R,FARMER,07,567- Raju Zila,Rattan Zila,Naihati,,Mau,Chandigarh,Rajasthan,India,045503,567- Raju Zila,Rattan Zila,Naihati,,Malegaon,Chandigarh,Goa,India,045503,H,09199027183,H,7141960329,tiwarireyansh@example.org,,498658493770,No,0,0
MEMBER-000016,TPA-148770,B,Damini,Jivin,Sem,Lakshit Rastogi,1952-07-18,,M,M,Indian,F,DOCTOR,06,92/74- Soman Path,Khalsa,Tiruchirappalli,Behind Park,Ghaziabad,Bhusawal,Goa,India,771724,99/62 Kohli Marg,Sengupta Zila,Tiruchirappalli,Behind Park,Ghaziabad,Bhusawal,Goa,India,771724,M,+912003015376,,07429107853,paritoor@example.net,bhatnagarfateh@example.org,008969696882,No,0,0
MEMBER-000017,TPA-698711,I,Miraan,,Bath,Tanya Mani,1999-10-19,,O,M,Indian,R,FARMER,03,H.No. 45 Brahmbhatt Road,Sathe Circle,Burhanpur,Opposite Rattan-Dhar,Udupi,Belgaum,Jharkhand,India,172665,H.No. 45 Brahmbhatt Road,Sathe Circle,Burhanpur,Opposite Rattan-Dhar,Kurnool,Belgaum,West Bengal,India,172665,O,+919917666964,M,04192137317,manndhanuk@example.net,,871510641579,No,0,0
MEMBER-000018,TPA-992449,I,Indrajit,,,Elakshi Borra,1954-05-03,,M,S,Indian,R,BUSINESS,07,80/98 Kala Chowk,Aggarwal Circle,Coimbatore,Near Dyal Marg,Ranchi,Pune,Uttar Pradesh,India,481198,80/98 Kala Chowk,Aggarwal Circle,Coimbatore,,Buxar,Pune,Uttar Pradesh,India,481198,M,07853494169,O,,samarthkrishna@example.com,,817428870469,Yes,0,0
MEMBER-000019,TPA-391255,I,Biju,,Sem,Dhanush Tella,1959-06-24,,M,M,Indian,F,RETIRED,07,24- Sengupta Road,Wali,Ichalkaranji,,Aizawl,Sasaram,West Bengal,India,536856,80- Sagar Marg,Ahluwalia Ganj,Tiruchirappalli,,Aizawl,Sasaram,West Bengal,India,536856,O,08878332806,,7032682262,ivan19@example.net,,310461715743,No,0,0
MEMBER-000020,TPA-874346,I,Prisha,Shaan,Dara,Diya Talwar,1967-05-05,,F,S,Indian,O,GOVT_EMP,07,H.No. 854- Brar Nagar,Gole Street,Kumbakonam,Behind Mall,Loni,Panvel,Sikkim,India,953511,H.No. 854- Brar Nagar,Gole Street,Kumbakonam,Behind Mall,Loni,Panvel,Sikkim,India,953511,M,+919665932922,H,+916572759014,ira89@example.com,uvohra@example.net,705057888910,No,0,0
MEMBER-000021,TPA-135124,I,Abram,Manikya,Sant,Heer Desai,1960-05-18,,M,M,Indian,R,BUSINESS,04,24/57 Issac,Bakshi,Kanpur,Behind Park,Kolkata,Gurgaon,Goa,India,486182,24/57 Issac,Bakshi,Kanpur,Behind Park,Kolkata,Khammam,Goa,India,486182,H,+916207071711,,09127902213,chanalakshay@example.org,shaanchawla@example.net,918157380870,No,0,0
MEMBER-000022,TPA-934990,I,Ranbir,,Comar,Ehsaan Shah,1966-08-16,,M,S,Indian,R,ENGINEER,06,47 Rastogi Path,Chawla Chowk,Nizamabad,,Unnao,Farrukhabad,Bihar,India,530077,47 Rastogi Path,Bhakta Ganj,Nizamabad,Opposite Rout-Khatri,Bhagalpur,Hyderabad,Bihar,India,952361,M,+910202740748,,+911350020010,purabsawhney@example.net,,393225781900,No,0,0
MEMBER-000023,TPA-528910,I,Charvi,Onkar,Gokhale,Aradhya Jayaraman,1978-02-07,,F,M,Indian,R,BUSINESS,06,80 Sha Marg,Rattan Zila,Ratlam,Near Choudhury Street,Bhind,Ratlam,Assam,India,808660,80 Sha Marg,Rattan Zila,Ratlam,Near Choudhury Street,Mango,Ratlam,Assam,India,808660,H,06609790785,M,,zgoswami@example.net,kashvi21@example.org,370666666505,No,0,1
MEMBER-000024,TPA-490700,I,Zoya,,Basak,Anvi Vora,1957-07-10,,M,M,Indian,R,RETIRED,04,H.No. 84- Ramachandran Street,Barad Ganj,Aurangabad,Near Boase Road,Asansol,Amroha,Jharkhand,India,293093,H.No. 84- Ramachandran Street,Barad Ganj,Panchkula,Near Boase Road,Asansol,Jammu,Chhattisgarh,India,293093,H,3160792919,,+917850985484,kismat29@example.net,,897826199531,No,0,0
MEMBER-000025,TPA-517782,I,Tanya,Aarush,Behl,Samar Banerjee,1995-10-02,,F,M,Indian,R,GOVT_EMP,07,62/61- Doctor Marg,Tella Nagar,Kolkata,Behind School,Nagercoil,Tadepalligudem,West Bengal,India,798144,62/61- Doctor Marg,Tara Marg,Kolkata,Behind School,Nagercoil,Tadepalligudem,West Bengal,India,627676,H,02420722183,M,8737346494,bhavin38@example.com,,538369128309,No,0,0
MEMBER-000026,TPA-474413,I,Arnav,Nakul,Bajwa,Aarna Vig,1967-08-13,,M,M,Indian,R,DOCTOR,06,41- Karan Chowk,Vaidya Road,Sasaram,Behind School,Kurnool,Amritsar,Tamil Nadu,India,023772,41- Karan Chowk,Vaidya Road,Sasaram,Behind School,Kurnool,Amritsar,Tamil Nadu,India,023772,H,+910801323521,M,+919597763382,aayush37@example.org,,821899783857,No,0,0
MEMBER-000027,TPA-861237,I,Ayesha,Devansh,Bhalla,Damini Kulkarni,1990-03-16,,F,M,Indian,R,ENGINEER,07,939 Shenoy Street,Jayaraman Marg,Meerut,"Opposite Krishnamurthy, Khosla and Ravi",Katni,Chapra,Haryana,India,376018,939 Shenoy Street,Jayaraman Marg,Meerut,"Opposite Krishnamurthy, Khosla and Ravi",Katni,Chapra,Karnataka,India,107257,M,03407707960,H,,taran93@example.net,,170435454249,No,0,0
MEMBER-000028,TPA-630831,B,Nirvi,,Sekhon,Lagan Kara,1977-08-09,,F,S,Indian,R,DOCTOR,01,21/70 Chokshi Road,Andra Circle,Vijayanagaram,Near Behl Ganj,Vasai-Virar,Mau,Odisha,India,641290,21/70 Chokshi Road,Andra Circle,Vijayanagaram,Near Behl Ganj,Vasai-Virar,Mau,Odisha,India,641290,H,04823405484,O,+915558862777,shanayagoswami@example.org,,269244460171,No,0,0
