policy_number,previous_policy_number,policy_renewal_indicator,portability_indicator,policy_status,policy_issuance_type,policy_classification,group_policy_classification,policy_issue_date,policy_start_date,policy_end_date,cancellation_termination_date,agent_id,sales_manager_id,member_id1,member_id2,member_id3,member_id4,member_id5,sum_insured,total_policy_premium,premium_installment_type,premium_paid_till_date,policy_porting_date,policy_inclusion_date,policy_inclusion_ind,number_of_insured,minimum_possible_si,susp_policy_ind,proposer_mobile_no,policy_procurement_area,previous_sum_insured,policy_renewal_date,prev_policy_expiry_date,intermediary_type,first_policy_number,product_uin,plan_name,product_cd
POL-46309,,N,N,IF,S,G,E,2024-04-09,2024-04-09,2025-04-08,,AG1068,SM1049,MEMBER-013292,,,,,5985478.99,372656.58,M,186328.29,,,No,1,3546525.44,No,9182636822,Urban,,,,SPP,POL-46309,UIN-815,Plan A,PERSONAL_ACCIDENT
POL-12553,POL-46309,N,Y,IF,S,I,,2023-03-02,2023-03-07,2024-03-05,,AG1000,SM1014,MEMBER-003469,MEMBER-006712,MEMBER-011570,,,2325189.35,211475.31,H,211475.31,2023-03-07,,No,3,1577383.31,No,9176847650,Rural,2399310.23,,2023-03-06,IND,POL-46309,UIN-925,Plan B,IND_HEALTH
POL-22503,,N,N,CP,S,I,,2023-06-29,2023-07-04,2024-07-02,2024-06-24,AG1116,SM1020,MEMBER-013234,MEMBER-001218,MEMBER-006397,MEMBER-007703,,162533.16,11933.35,Q,8950.01,,,No,4,125813.2,No,9476161918,Rural,,,,SPP,POL-22503,UIN-264,Plan C,GROUP_HEALTH
POL-37240,,N,N,IF,U,I,,2023-05-29,2023-05-31,2024-05-29,,AG1188,SM1025,MEMBER-003471,,,,,1481206.06,126890.71,Q,95168.03,,2024-02-09,Yes,1,1029547.36,No,9999128500,Urban,,,,IND,POL-37240,UIN-687,Plan B,IND_HEALTH
POL-46980,,N,N,XP,U,I,,2023-06-14,2023-06-16,2024-06-14,,AG1127,SM1003,MEMBER-000071,MEMBER-005648,MEMBER-006589,MEMBER-007996,,621080.27,14501.65,H,14501.65,,,No,4,348428.77,No,9306838000,Rural,,,,IND,POL-46980,UIN-317,Plan A,GROUP_HEALTH
POL-42121,POL-46309,Y,N,IF,S,I,,2023-02-01,2023-02-06,2024-02-05,,AG1153,SM1015,MEMBER-011858,MEMBER-006678,MEMBER-009296,,,2241285.16,152027.01,H,152027.01,,,No,3,1662273.74,No,9612111037,Urban,2523622.73,2023-02-06,2023-02-05,IND,POL-46309,UIN-174,Plan C,IND_HEALTH
POL-24459,POL-22503,Y,N,IF,S,I,,2023-07-01,2023-07-01,2024-06-29,,AG1014,SM1029,MEMBER-009958,MEMBER-011760,MEMBER-002555,,,2317579.96,214495.27,H,107247.63,,,No,3,1602197.57,No,9640082163,Urban,1688812.34,2023-07-01,2023-06-30,SPP,POL-22503,UIN-860,Plan C,CRITICAL_ILLNESS
POL-36084,,N,N,IF,S,I,,2024-04-07,2024-04-11,2025-04-10,,AG1086,SM1039,MEMBER-008812,,,,,1020540.04,46599.16,Y,46599.16,,,No,1,629460.37,No,9290736595,Rural,,,,IND,POL-36084,UIN-772,Plan B,GROUP_HEALTH
POL-22607,,N,N,IF,U,G,E,2023-06-05,2023-06-10,2024-06-08,,AG1195,SM1023,MEMBER-010893,MEMBER-003097,MEMBER-011579,MEMBER-002081,,7361624.8,696229.43,H,348114.72,,,No,4,4399096.62,No,9673881955,Urban,,,,ORG,POL-22607,UIN-135,Plan B,GROUP_HEALTH
POL-26952,,N,N,IF,S,I,,2023-11-25,2023-11-29,2024-11-27,,AG1141,SM1036,MEMBER-006872,MEMBER-006923,MEMBER-006679,,,2025518.77,89032.97,H,44516.49,,,No,3,1567788.79,No,9718426489,Rural,,,,IOC,POL-26952,UIN-751,Plan B,GROUP_HEALTH
POL-21323,POL-46309,N,Y,IF,S,I,,2023-05-06,2023-05-09,2024-05-07,,AG1101,SM1004,MEMBER-003650,MEMBER-002719,MEMBER-009533,,,1847645.41,73142.83,Y,73142.83,2023-05-09,,No,3,1407040.13,No,9606612552,Urban,2027845.79,,2023-05-08,IND,POL-46309,UIN-251,Plan B,TERM_LIFE
POL-23347,,N,N,IF,S,I,,2023-02-25,2023-02-28,2024-02-27,,AG1013,SM1001,MEMBER-003347,MEMBER-009542,,,,1530126.09,90546.92,H,90546.92,,,No,2,1084145.88,No,9493324742,Rural,,,,IND,POL-23347,UIN-299,Plan B,IND_HEALTH
POL-24606,,N,N,IF,S,I,,2024-01-10,2024-01-12,2025-01-10,,AG1087,SM1010,MEMBER-008439,MEMBER-000260,MEMBER-002782,MEMBER-006960,,371597.23,21148.88,H,10574.44,,,No,4,265414.65,No,9679009528,Urban,,,,DIR,POL-24606,UIN-511,Plan C,IND_HEALTH
POL-14778,,N,N,IF,S,G,E,2023-09-25,2023-09-26,2024-09-24,,AG1146,SM1012,MEMBER-001245,MEMBER-012085,MEMBER-002782,MEMBER-005155,MEMBER-011708,868324.15,36147.46,Y,36147.46,,,No,5,512065.87,No,9600176614,Rural,,,,IND,POL-14778,UIN-575,Plan C,IND_HEALTH
POL-30636,,N,N,IF,U,I,,2024-08-09,2024-08-13,2025-08-12,,AG1050,SM1041,MEMBER-002443,,,,,1767388.71,66724.19,H,66724.19,,,No,1,956705.59,No,9595672497,Rural,,,,IND,POL-30636,UIN-351,Plan C,IND_HEALTH
POL-20678,POL-12553,Y,N,IF,U,I,,2023-12-01,2023-12-02,2024-11-30,,AG1154,SM1022,MEMBER-009523,,,,,1471500.44,124363.77,H,124363.77,,,No,1,805211.32,No,9286936447,Rural,1226462.47,2023-12-02,2023-12-01,IND,POL-12553,UIN-841,Plan A,FAMILY_HEALTH_OPTIMA
POL-24475,,N,N,IF,S,I,,2024-08-04,2024-08-04,2025-08-03,,AG1101,SM1016,MEMBER-004398,,,,,964772.58,33633.35,H,33633.35,,,No,1,580125.68,No,9238246671,Urban,,,,ORG,POL-24475,UIN-621,Plan C,PERSONAL_ACCIDENT
