prac_id,prac_name,prac_license_number,prac_NPI_Number,prac_license_expiry_date,prac_date_of_birth,prac_gender,prac_bank_account_number,prac_contact_number,prac_email_address,prac_practice_address_line1,prac_practice_address_line2,prac_practice_city,prac_practice_state,prac_practice_pincode,prac_primary_specialty,prac_secondary_specialty,prac_taxonomy_code,prac_medical_school,prac_graduation_year,prac_primary_hospital_id,prac_is_solo_practice,prac_onboarding_date,prac_practitioner_status,prac_sanction_history_details
PRAC-1000,Indranil Iyer,MCI/MAH/42447,0949369145,2030-02-08,1962-12-24,Other,203629811270,99619143871,indranil.doc28@clinic.com,929- Gill Circle,Zacharia Ganj,Pune,Maharashtra,456481,Oncology,Pediatrics,207R00000X,Christian Medical College,1989,HOSP-0015,Y,2014-12-25,Active,
PRAC-1001,Hiran Tara,MCI/DEL/84101,6637611828,2029-05-29,1983-05-18,Other,108731723112,98116314113,hiran.doc69@clinic.com,069 Vyas Path,Sidhu Road,New Delhi,Delhi,110028,Cardiology,Neurology,207R00000X,Maulana Azad Medical College,2009,HOSP-0007,N,2014-11-06,Active,
PRAC-1002,Aaina Bath,MCI/DEL/13103,1786146281,2029-04-11,1980-03-15,Other,366117724902,99508759748,aaina.doc80@clinic.com,H.No. 03- Balakrishnan Street,,New Delhi,Delhi,110072,Pediatrics,Neurology,208000000X,Christian Medical College,2006,HOSP-0049,N,2018-05-20,Active,
PRAC-1003,Ivan Shanker,MCI/MAH/34299,1656719225,2027-03-06,1961-01-31,Male,079338335828,97266210573,ivan.doc70@clinic.com,03/750 Dhaliwal Zila,Varkey Road,Pune,Maharashtra,479734,Oncology,Pediatrics,207R00000X,JIPMER,1988,HOSP-0025,N,1996-12-28,Active,
PRAC-1004,Nishith Tandon,MCI/MAH/78944,0784184781,2028-02-13,1962-12-22,Female,509419771747,97820920350,nishith.doc51@clinic.com,20/407 Dada Street,,Pune,Maharashtra,450603,General Surgery,Cardiology,208600000X,Kasturba Medical College,1988,HOSP-0004,Y,1990-10-08,Active,
PRAC-1005,Anya Brar,MCI/DEL/17624,3472344769,2025-11-13,1976-12-14,Male,226874539948,98182575740,anya.doc28@clinic.com,827 Bhat Path,Salvi Marg,New Delhi,Delhi,110075,Pediatrics,Orthopedic Surgery,208000000X,All India Institute of Medical Sciences,2006,HOSP-0013,Y,2019-12-02,Active,
PRAC-1006,Lavanya Saran,MCI/KAR/70593,7421790455,2027-03-16,1964-04-30,Male,593744308952,99805264944,lavanya.doc75@clinic.com,H.No. 022 Bajwa Chowk,,Mysore,Karnataka,578583,General Surgery,Pediatrics,208600000X,Kasturba Medical College,1990,HOSP-0047,Y,2007-12-16,Active,
PRAC-1007,Hridaan Dass,MCI/TAM/96770,0768757619,2029-01-09,1970-08-12,Other,046956897253,98508943677,hridaan.doc56@clinic.com,99/75- Bandi Road,Kumer Circle,Coimbatore,Tamil Nadu,619253,Oncology,Neurology,207R00000X,Armed Forces Medical College,2000,HOSP-0019,Y,2021-01-14,Active,
PRAC-1008,Veer Shan,MCI/MAH/83946,8029364810,2028-05-05,1984-01-13,Male,505661777143,98787526274,veer.doc25@clinic.com,H.No. 019 Bhatia Circle,Joshi Path,Nagpur,Maharashtra,480879,Dermatology,General Practice,207N00000X,Kasturba Medical College,2008,HOSP-0015,Y,2022-12-18,Active,
PRAC-1009,Diya Grover,MCI/MAH/10926,5305961577,2027-05-11,1978-12-29,Other,785657564950,98082317173,diya.doc22@clinic.com,18/993- Desai Circle,,Nagpur,Maharashtra,456776,Pediatrics,General Surgery,208000000X,Kasturba Medical College,2006,HOSP-0010,Y,2015-10-01,Active,
PRAC-1010,Urvi Kari,MCI/KAR/39420,7985890574,2029-08-29,1974-09-24,Male,678520159596,98400465445,urvi.doc60@clinic.com,H.No. 23- Goel Path,,Mysore,Karnataka,563320,Dermatology,Oncology,207N00000X,Christian Medical College,1998,HOSP-0017,N,2022-03-16,Active,
PRAC-1011,Tara Deshpande,MCI/WES/84404,3895139485,2027-03-23,1976-09-07,Other,202975891356,98789503644,tara.doc30@clinic.com,644 Tara Nagar,,Howrah,West Bengal,707945,General Surgery,,208600000X,All India Institute of Medical Sciences,2001,HOSP-0007,Y,2013-06-09,Active,
PRAC-1012,Hansh Barman,MCI/MAH/99940,2451902797,2029-03-05,1975-09-10,Female,422914055467,98793300556,hansh.doc13@clinic.com,622 Rattan Nagar,Zachariah,Pune,Maharashtra,483477,Pediatrics,,208000000X,Maulana Azad Medical College,2001,HOSP-0010,N,2021-01-17,Active,
PRAC-1013,Vivaan Ganesan,MCI/MAH/71616,0578180213,2028-06-26,1978-03-06,Other,695861942994,97621839811,vivaan.doc18@clinic.com,89- Ganguly Road,Swamy Road,Mumbai,Maharashtra,465261,Cardiology,General Practice,207R00000X,All India Institute of Medical Sciences,2003,HOSP-0043,Y,2005-09-04,Active,
