sm_update_date,sm_id,sm_name,sm_gender,sm_date_of_birth,sm_gov_id,sm_employee_id,sm_experience,sm_contact_number,sm_email,sm_address_line_1,sm_address_line_2,sm_address_line_3,sm_city,sm_district,sm_state,sm_country,sm_pin_code,sm_since,sm_reporting_to,sm_service_area_type,sm_assigned_region,sm_product
2025-08-12,SM1000,Miraya Talwar,M,1985-05-10,ADHAR-7885-5969-8403,EMP40489,15,99898441618,miraya.mgr27@example.com,H.No. 366- De Chowk,Char Zila,Street,New Delhi,New Delhi,Delhi,India,110058,2012-03-06,SM922,Rural,Delhi Region,Motor
2025-08-12,SM1001,Miraan Mann,F,1981-01-27,ADHAR-2244-8174-2591,EMP90644,8,97181303606,miraan.mgr8@example.com,03 Rau,Kala Zila,Street,Pune,Pune,Maharashtra,India,459100,2022-11-23,SM911,City,Maharashtra Region,All
2025-08-12,SM1002,Jivika Grover,M,1987-06-10,UID-934524652234,EMP64269,14,99030656492,jivika.mgr41@example.com,58 Verma,Cherian Street,Street,Mysore,Mysore,Karnataka,India,573194,2016-08-10,SM913,Town,Karnataka Region,Motor
2025-08-12,SM1003,Inaaya  Bhardwaj,M,1986-08-13,ADHAR-7798-2918-6434,EMP52769,12,97232434623,inaaya.mgr16@example.com,413- Deol Ganj,Doshi Path,Street,Bangalore,Bangalore,Karnataka,India,585125,2016-08-10,SM900,City,Karnataka Region,Life
2025-08-12,SM1004,Aniruddh Varty,F,1995-05-15,VOTER-B985424,EMP20739,19,99336142241,aniruddh.mgr43@example.com,37- Sharma Path,Khanna Chowk,Street,New Delhi,New Delhi,Delhi,India,110014,2007-12-01,SM911,Rural,Delhi Region,Life
2025-08-12,SM1005,Ivana Arora,M,1981-10-18,ADHAR-3980-5350-5334,EMP66719,7,98005046571,ivana.mgr62@example.com,H.No. 648- Korpal Zila,Sunder Ganj,Street,New Delhi,New Delhi,Delhi,India,110074,2024-04-10,SM913,Rural,Delhi Region,Life
2025-08-12,SM1006,Hansh Kothari,M,1974-10-25,ADHAR-4010-1581-3457,EMP29560,18,99383570919,hansh.mgr92@example.com,62/95- Lad Street,Lall Street,Street,Bangalore,Bangalore,Karnataka,India,584476,2021-07-20,SM916,Town,Karnataka Region,All
2025-08-12,SM1007,Onkar Sinha,M,1981-10-22,ADHAR-6939-6185-6850,EMP25200,5,99396649707,onkar.mgr68@example.com,737- Dugar Chowk,Ramesh Chowk,Street,Mumbai,Mumbai,Maharashtra,India,433015,2020-08-20,SM909,Town,Maharashtra Region,All
2025-08-12,SM1008,Vihaan Ravel,M,1973-08-18,VOTER-A254330,EMP18553,20,99979634223,vihaan.mgr22@example.com,H.No. 53 Toor Path,Anne Path,Street,Nagpur,Nagpur,Maharashtra,India,430867,2018-08-23,SM928,City,Maharashtra Region,Motor
2025-08-12,SM1009,Nishith Kulkarni,M,1979-04-04,UID-793441962902,EMP48840,12,97321569213,nishith.mgr45@example.com,02/580- Gopal Marg,Rana Chowk,Street,New Delhi,New Delhi,Delhi,India,110043,2020-11-01,SM914,City,Delhi Region,Life
2025-08-12,SM1010,Yasmin Sha,M,1991-02-04,VOTER-A718876,EMP69164,19,98893361998,yasmin.mgr58@example.com,H.No. 328- Salvi Chowk,Lalla Nagar,Street,Coimbatore,Coimbatore,Tamil Nadu,India,651196,2008-07-22,SM929,City,Tamil Nadu Region,Health
2025-08-12,SM1011,Samiha Balasubramanian,M,1994-06-13,ADHAR-7502-8201-3359,EMP38643,23,97929232200,samiha.mgr64@example.com,76/283 Balakrishnan Nagar,Brar,Street,Howrah,Howrah,West Bengal,India,701749,2006-05-09,SM938,Town,West Bengal Region,Life
2025-08-12,SM1012,Stuvan Roy,M,1976-09-21,VOTER-D205809,EMP51832,15,98807730310,stuvan.mgr51@example.com,413 Behl,Ranganathan Ganj,Street,Howrah,Howrah,West Bengal,India,706979,2016-04-15,SM926,City,West Bengal Region,Life
2025-08-12,SM1013,Alia Badal,M,1983-12-03,VOTER-B842077,EMP84456,0,98052068127,alia.mgr9@example.com,H.No. 72- Dhillon Path,Mahajan Zila,Street,Bangalore,Bangalore,Karnataka,India,584025,2025-08-04,SM939,Rural,Karnataka Region,Health
2025-08-12,SM1014,Jivika Chopra,M,1994-11-08,ADHAR-3335-5850-6433,EMP20399,2,97916339196,jivika.mgr91@example.com,H.No. 20- Sidhu Ganj,Edwin Ganj,Street,Mysore,Mysore,Karnataka,India,578020,2025-05-12,SM928,City,Karnataka Region,All
2025-08-12,SM1015,Saanvi Bumb,M,1972-09-16,ADHAR-6319-5712-4726,EMP99329,0,99425457937,saanvi.mgr17@example.com,24/234- Goyal Street,Bose Circle,Street,Bangalore,Bangalore,Karnataka,India,584486,2025-04-04,SM906,City,Karnataka Region,All
2025-08-12,SM1016,Anya D’Alia,M,1970-12-24,ADHAR-1610-6069-3143,EMP15796,6,98392666134,anya.mgr96@example.com,866- Randhawa Marg,Samra Nagar,Street,Kolkata,Kolkata,West Bengal,India,718247,2021-12-07,SM911,City,West Bengal Region,Life
2025-08-12,SM1017,Aaryahi Bali,M,1981-08-10,UID-739366877464,EMP24004,20,99829017898,aaryahi.mgr92@example.com,20 Dada Nagar,Devi Marg,Street,New Delhi,New Delhi,Delhi,India,110093,2013-11-23,SM924,Town,Delhi Region,Health
2025-08-12,SM1018,Anahita Bava,F,1970-10-08,VOTER-C937416,EMP72259,18,99987601922,anahita.mgr17@example.com,H.No. 308- Swaminathan,Karnik,Street,Bangalore,Bangalore,Karnataka,India,582383,2021-11-26,SM925,Town,Karnataka Region,Motor
2025-08-12,SM1019,Anahi Tripathi,M,1984-04-27,ADHAR-4508-9807-4105,EMP63644,3,99559642163,anahi.mgr40@example.com,H.No. 92 Wadhwa Marg,Saha Circle,Street,New Delhi,New Delhi,Delhi,India,110048,2023-05-22,SM917,Town,Delhi Region,Health
2025-08-12,SM1020,Gokul Kothari,M,1973-04-08,UID-971911801885,EMP28136,23,98459622830,gokul.mgr49@example.com,13 Swaminathan Path,Lata Ganj,Street,Coimbatore,Coimbatore,Tamil Nadu,India,669475,2014-04-16,SM922,City,Tamil Nadu Region,Health
