Practitioner_ID,prac_name,prac_license_number,prac_NPI_Number,prac_license_expiry_date,prac_date_of_birth,prac_gender,prac_bank_account_number,prac_contact_number,prac_email_address,prac_practice_address_line1,prac_practice_address_line2,prac_practice_city,prac_practice_state,prac_practice_pincode,prac_primary_specialty,prac_secondary_specialty,prac_taxonomy_code,prac_medical_school,prac_graduation_year,prac_primary_hospital_id,prac_is_solo_practice,prac_onboarding_date,prac_practitioner_status,prac_sanction_history_details,CLAIM_CNT_LT_1M,CLAIM_AMT_LT_1M,CASHLESS_CLAIM_CNT_LT_1M,REIMB_CLAIM_CNT_LT_1M,REJECT_CLAIM_CNT_LT_1M,REJECT_CLAIM_AMT_LT_1M,APPROVE_CLAIM_CNT_LT_1M,APPROVE_CLAIM_AMT_LT_1M,UNIQUE_PATIENTS_CNT_LT_1M,UNIQUE_HOSPITALS_CNT_LT_1M,UNIQUE_AGENTS_CNT_LT_1M,AVG_CONSULTING_FEE_LT_1M,AVG_MEDICINE_FEE_LT_1M,REJECT_REIMB_CLAIM_CNT_LT_1M,REJECT_CSHL_CLAIM_CNT_LT_1M,APPROVE_CASHLESS_CLAIM_CNT_LT_1M,APPROVE_REIMB_CLAIM_CNT_LT_1M,CLAIM_CNT_LT_3M,CLAIM_AMT_LT_3M,CASHLESS_CLAIM_CNT_LT_3M,REIMB_CLAIM_CNT_LT_3M,REJECT_CLAIM_CNT_LT_3M,REJECT_CLAIM_AMT_LT_3M,APPROVE_CLAIM_CNT_LT_3M,APPROVE_CLAIM_AMT_LT_3M,UNIQUE_PATIENTS_CNT_LT_3M,UNIQUE_HOSPITALS_CNT_LT_3M,UNIQUE_AGENTS_CNT_LT_3M,AVG_CONSULTING_FEE_LT_3M,AVG_MEDICINE_FEE_LT_3M,REJECT_REIMB_CLAIM_CNT_LT_3M,REJECT_CSHL_CLAIM_CNT_LT_3M,APPROVE_CASHLESS_CLAIM_CNT_LT_3M,APPROVE_REIMB_CLAIM_CNT_LT_3M,CLAIM_CNT_LT_6M,CLAIM_AMT_LT_6M,CASHLESS_CLAIM_CNT_LT_6M,REIMB_CLAIM_CNT_LT_6M,REJECT_CLAIM_CNT_LT_6M,REJECT_CLAIM_AMT_LT_6M,APPROVE_CLAIM_CNT_LT_6M,APPROVE_CLAIM_AMT_LT_6M,UNIQUE_PATIENTS_CNT_LT_6M,UNIQUE_HOSPITALS_CNT_LT_6M,UNIQUE_AGENTS_CNT_LT_6M,AVG_CONSULTING_FEE_LT_6M,AVG_MEDICINE_FEE_LT_6M,REJECT_REIMB_CLAIM_CNT_LT_6M,REJECT_CSHL_CLAIM_CNT_LT_6M,APPROVE_CASHLESS_CLAIM_CNT_LT_6M,APPROVE_REIMB_CLAIM_CNT_LT_6M,CLAIM_CNT_YR_1,CLAIM_AMT_YR_1,CASHLESS_CLAIM_CNT_YR_1,REIMB_CLAIM_CNT_YR_1,REJECT_CLAIM_CNT_YR_1,REJECT_CLAIM_AMT_YR_1,APPROVE_CLAIM_CNT_YR_1,APPROVE_CLAIM_AMT_YR_1,UNIQUE_PATIENTS_CNT_YR_1,UNIQUE_HOSPITALS_CNT_YR_1,UNIQUE_AGENTS_CNT_YR_1,AVG_CONSULTING_FEE_YR_1,AVG_MEDICINE_FEE_YR_1,REJECT_REIMB_CLAIM_CNT_YR_1,REJECT_CSHL_CLAIM_CNT_YR_1,APPROVE_CASHLESS_CLAIM_CNT_YR_1,APPROVE_REIMB_CLAIM_CNT_YR_1,CLAIM_CNT_YR_2,CLAIM_AMT_YR_2,CASHLESS_CLAIM_CNT_YR_2,REIMB_CLAIM_CNT_YR_2,REJECT_CLAIM_CNT_YR_2,REJECT_CLAIM_AMT_YR_2,APPROVE_CLAIM_CNT_YR_2,APPROVE_CLAIM_AMT_YR_2,UNIQUE_PATIENTS_CNT_YR_2,UNIQUE_HOSPITALS_CNT_YR_2,UNIQUE_AGENTS_CNT_YR_2,AVG_CONSULTING_FEE_YR_2,AVG_MEDICINE_FEE_YR_2,REJECT_REIMB_CLAIM_CNT_YR_2,REJECT_CSHL_CLAIM_CNT_YR_2,APPROVE_CASHLESS_CLAIM_CNT_YR_2,APPROVE_REIMB_CLAIM_CNT_YR_2,CLAIM_CNT_YR_3,CLAIM_AMT_YR_3,CASHLESS_CLAIM_CNT_YR_3,REIMB_CLAIM_CNT_YR_3,REJECT_CLAIM_CNT_YR_3,REJECT_CLAIM_AMT_YR_3,APPROVE_CLAIM_CNT_YR_3,APPROVE_CLAIM_AMT_YR_3,UNIQUE_PATIENTS_CNT_YR_3,UNIQUE_HOSPITALS_CNT_YR_3,UNIQUE_AGENTS_CNT_YR_3,AVG_CONSULTING_FEE_YR_3,AVG_MEDICINE_FEE_YR_3,REJECT_REIMB_CLAIM_CNT_YR_3,REJECT_CSHL_CLAIM_CNT_YR_3,APPROVE_CASHLESS_CLAIM_CNT_YR_3,APPROVE_REIMB_CLAIM_CNT_YR_3,AVG_CLAIM_AMT_LT_1M,AVG_APPR_CLAIM_AMT_LT_1M,AVG_CLAIM_AMT_LT_3M,AVG_APPR_CLAIM_AMT_LT_3M,AVG_CLAIM_AMT_LT_6M,AVG_APPR_CLAIM_AMT_LT_6M,AVG_CLAIM_AMT_YR_1,AVG_APPR_CLAIM_AMT_YR_1,AVG_CLAIM_AMT_YR_2,AVG_APPR_CLAIM_AMT_YR_2,AVG_CLAIM_AMT_YR_3,AVG_APPR_CLAIM_AMT_YR_3,MEMBER_BANKMATCH_FLG
PRAC-1000,Saanvi Kade,MCI/MAH/42447,5495166135,2025-11-29,1994-11-21,Other,121373296239,99619143871,saanvi.doc28@clinic.com,H.No. 48 Rana Marg,Sidhu Path,Pune,Maharashtra,456481,Oncology,Pediatrics,207R00000X,Christian Medical College,2022,HOSP-0015,Y,2025-04-26,Active,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1397994.73,3.0,0.0,0.0,0.0,3.0,1108449.57,3.0,3.0,3.0,96608.09999999999,81365.21333333333,0.0,0.0,3.0,0.0,9,4402095.04,8,1,0,0.0,9,3769153.61,9,9,9,106152.31555555556,82580.24,0.0,0.0,8,1,13,7027369.38,11,2,0,0.0,13,6308165.46,13,12,13,118328.64692307691,93182.25230769231,0.0,0.0,11,2,43,33257801.14,31,12,5,4262860.49,36,23203988.38,43,28,40,219206.8748837209,162580.53767441862,1.0,4.0,25,11,34,19842993.51,21,13,5,3530758.8099999996,27,13499490.86,34,23,31,113461.26823529412,135045.6394117647,2.0,3.0,18,9,0.0,0.0,465998.24333333335,369483.19,489121.6711111111,418794.84555555554,540566.8753846154,485243.4969230769,773437.2358139534,644555.2327777777,583617.4561764706,499981.1429629629,0
PRAC-1001,Jayant Kalita,MCI/DEL/84101,9254683631,2028-04-28,1966-04-30,Other,93310228177,98116314113,jayant.doc69@clinic.com,23 Sundaram Chowk,Kulkarni Chowk,New Delhi,Delhi,110028,Cardiology,Neurology,207R00000X,Maulana Azad Medical College,1990,HOSP-0007,N,1994-09-30,Active,0,1.0,562771.0,1.0,0.0,0.0,0.0,1.0,416577.17,1.0,1.0,1.0,60456.38,160333.3,0.0,0.0,1.0,0.0,2.0,652519.94,2.0,0.0,1.0,89748.94,1.0,416577.17,2.0,2.0,2.0,39994.384999999995,81725.87,0.0,1.0,1.0,0.0,4,1958014.04,2,2,1,89748.94,2,591500.6599999999,4,4,4,99426.14,103749.69499999999,0.0,1.0,1,1,10,3680354.15,5,5,1,89748.94,6,1666334.02,10,9,10,55323.812,81847.96599999999,0.0,1.0,2,4,59,35889586.64,43,16,3,1056427.46,53,28613084.419999998,59,31,52,101268.29288135594,132700.6554237288,0.0,3.0,37,16,21,11125055.42,17,4,2,612423.04,16,6904234.2,21,16,21,109262.6838095238,111006.43666666666,0.0,2.0,13,3,562771.0,416577.17,326259.97,416577.17,489503.51,295750.32999999996,368035.415,277722.33666666667,608298.0786440679,539869.5173584905,529764.5438095238,431514.6375,0
PRAC-1002,Chirag Soni,MCI/DEL/13103,5348715452,2027-07-13,1989-07-27,Other,876825655250,99508759748,chirag.doc80@clinic.com,516- Bava Marg,0,New Delhi,Delhi,110072,Pediatrics,Neurology,208000000X,Christian Medical College,2015,HOSP-0049,N,2022-12-01,Active,0,1.0,404230.16,1.0,0.0,0.0,0.0,1.0,997888.02,1.0,1.0,1.0,140171.87,5147.17,0.0,0.0,1.0,0.0,1.0,404230.16,1.0,0.0,0.0,0.0,1.0,997888.02,1.0,1.0,1.0,140171.87,5147.17,0.0,0.0,1.0,0.0,10,5150060.32,7,3,1,1350892.29,8,3502513.68,10,8,10,115686.719,81950.592,0.0,1.0,6,2,15,7333222.25,11,4,2,1376311.03,11,5190828.62,15,13,15,114931.40533333334,66858.49333333333,0.0,2.0,8,3,56,44231772.41,42,14,3,3146130.59,48,29892990.12,56,36,50,126187.11035714285,176181.43232142858,1.0,2.0,37,11,27,15434080.290000001,18,9,4,1947706.53,21,10850157.36,27,23,26,129816.10888888889,123564.72666666667,2.0,2.0,15,6,404230.16,997888.02,404230.16,997888.02,515006.032,437814.21,488881.48333333334,471893.5109090909,789853.07875,622770.6275000001,571632.6033333334,516674.16,0
PRAC-1003,Bhavin Chaudhry,MCI/MAH/34299,7792408369,2027-04-13,1977-12-27,Male,928039594607,97266210573,bhavin.doc70@clinic.com,22/680 Dara Ganj,Ahluwalia Street,Pune,Maharashtra,479734,Oncology,Pediatrics,207R00000X,JIPMER,2002,HOSP-0025,N,2006-06-03,Active,0,1.0,139756.51,0.0,1.0,0.0,0.0,1.0,149684.68,1.0,1.0,1.0,30203.32,19958.99,0.0,0.0,0.0,1.0,1.0,139756.51,0.0,1.0,0.0,0.0,1.0,149684.68,1.0,1.0,1.0,30203.32,19958.99,0.0,0.0,0.0,1.0,9,5151337.55,7,2,0,0.0,7,3649302.59,9,8,9,145214.08555555556,68922.68,0.0,0.0,5,2,15,7924936.34,11,4,0,0.0,12,5524071.75,15,12,15,130512.92666666667,73324.864,0.0,0.0,8,4,52,34647165.58,42,10,3,1501816.5999999999,46,26722854.73,52,34,45,113538.06596153845,138726.43923076923,1.0,2.0,38,8,37,38922296.99,28,9,2,1550504.91,33,30801992.06,36,23,34,278519.35162162164,170332.35432432435,0.0,2.0,24,9,139756.51,149684.68,139756.51,149684.68,572370.8388888888,521328.9414285714,528329.0893333333,460339.3125,666291.6457692308,580931.6245652174,1051953.9727027027,933393.6987878787,0
PRAC-1004,Taran Viswanathan,MCI/MAH/78944,6495795955,2025-10-30,1973-07-10,Female,301081273313,97820920350,taran.doc51@clinic.com,05/67- Bhargava Path,0,Pune,Maharashtra,450603,General Surgery,Cardiology,208600000X,Kasturba Medical College,1999,HOSP-0004,Y,2012-07-17,Active,0,2.0,645717.59,0.0,2.0,0.0,0.0,2.0,1638825.62,2.0,1.0,1.0,88132.06,39902.15,0.0,0.0,0.0,2.0,6.0,2904680.59,4.0,2.0,0.0,0.0,6.0,3732729.8,6.0,5.0,5.0,89529.62666666666,81544.41333333333,0.0,0.0,4.0,2.0,17,14282855.73,12,5,0,0.0,16,12737148.24,17,14,15,159324.25058823527,114762.6088235294,0.0,0.0,11,5,19,17292462.68,14,5,0,0.0,18,15111574.45,19,16,17,152781.62315789473,150461.7805263158,0.0,0.0,13,5,54,35228385.58,40,14,2,663910.09,49,27695587.48,54,33,45,114573.77722222221,129507.25111111111,1.0,1.0,37,12,28,26642761.73,23,5,0,0.0,23,20606006.98,28,20,23,165398.1875,171985.96607142856,0.0,0.0,19,4,322858.795,819412.81,484113.43166666664,622121.6333333333,840167.984117647,796071.765,910129.6147368421,839531.9138888889,652377.5107407407,565216.0710204082,951527.2046428572,895913.3469565217,0
PRAC-1005,Manjari Jani,MCI/DEL/17624,9736260883,2028-09-13,1991-01-21,Male,379722286040,98182575740,manjari.doc28@clinic.com,17/088 Varghese Zila,Gulati Nagar,New Delhi,Delhi,110075,Pediatrics,Orthopedic Surgery,208000000X,All India Institute of Medical Sciences,2017,HOSP-0013,Y,2025-08-06,Active,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5618661.33,2.0,2.0,0.0,0.0,4.0,4389170.21,4.0,3.0,4.0,519913.86499999993,64827.5275,0.0,0.0,2.0,2.0,7,6794493.92,4,3,0,0.0,7,5408079.54,7,6,7,362435.27428571426,61270.06857142857,0.0,0.0,4,3,13,13488113.08,9,4,0,0.0,12,7442903.54,13,12,13,262847.12384615385,142983.09999999998,0.0,0.0,8,4,46,33303843.52,39,7,2,1887994.3399999999,41,24802557.53,46,29,42,129183.67847826087,135436.46021739132,1.0,1.0,36,5,36,24031650.95,28,8,2,326064.64,32,19615302.32,36,26,33,135334.02055555556,125361.57583333335,0.0,2.0,24,8,0.0,0.0,1404665.3325,1097292.5525,970641.9885714286,772582.7914285715,1037547.16,620241.9616666667,723996.5982608695,604940.4275609757,667545.8597222222,612978.1975,0
PRAC-1006,Riaan Talwar,MCI/KAR/70593,7242060040,2028-05-09,1969-05-28,Male,335645361977,99805264944,riaan.doc75@clinic.com,79- Bhakta Road,0,Mysore,Karnataka,578583,General Surgery,Pediatrics,208600000X,Kasturba Medical College,1997,HOSP-0047,Y,2008-04-13,Active,0,3.0,1107564.2000000002,1.0,2.0,1.0,530232.14,2.0,602969.29,3.0,2.0,2.0,44047.16,94226.85999999999,0.0,1.0,0.0,2.0,3.0,1107564.2000000002,1.0,2.0,1.0,530232.14,2.0,602969.29,3.0,2.0,2.0,44047.16,94226.85999999999,0.0,1.0,0.0,2.0,10,4240219.27,6,4,1,530232.14,8,3142767.37,10,8,9,99819.024,72584.013,0.0,1.0,4,4,15,8279874.14,10,5,1,530232.14,12,6085046.15,15,11,13,136071.08666666667,107161.09599999999,0.0,1.0,7,5,73,50308024.07,60,13,5,2493133.8899999997,60,35137392.46,73,37,61,166863.15013698628,125526.44287671233,1.0,4.0,50,10,33,17747768.22,25,8,2,1090547.24,28,14075062.379999999,33,26,30,126461.49121212121,110240.6103030303,0.0,2.0,22,6,369188.0666666667,301484.645,369188.0666666667,301484.645,424021.92699999997,392845.92125,551991.6093333333,507087.1791666667,689151.0146575342,585623.2076666667,537811.1581818182,502680.7992857142,0
PRAC-1007,Badal Buch,MCI/TAM/96770,6148760407,2029-11-19,1963-10-04,Other,636769866855,98508943677,badal.doc56@clinic.com,28/675 Ramakrishnan Chowk,Tripathi Nagar,Coimbatore,Tamil Nadu,619253,Oncology,Neurology,207R00000X,Armed Forces Medical College,1991,HOSP-0019,Y,1994-03-14,Active,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2663016.94,4,1,0,0.0,5,2155990.55,5,5,5,107727.06800000001,102106.26200000002,0.0,0.0,4,1,9,3096047.32,7,2,0,0.0,9,2552123.09,9,9,9,69634.33,65628.23444444445,0.0,0.0,7,2,62,36733702.96,48,14,3,961017.08,52,26900347.490000002,62,36,52,122932.28403225807,125502.7064516129,0.0,3.0,41,11,27,24864655.740000002,22,5,3,2192686.02,21,17450483.7,27,20,26,227398.98407407408,211509.93444444446,1.0,2.0,17,4,0.0,0.0,0.0,0.0,532603.388,431198.11,344005.25777777773,283569.2322222222,592479.08,517314.37480769237,920913.1755555556,830975.4142857143,0
PRAC-1008,Shayak Soman,MCI/MAH/83946,1773096166,2026-05-02,1977-04-13,Male,157783309346,98787526274,shayak.doc25@clinic.com,H.No. 410 Agarwal Zila,Gaba Nagar,Nagpur,Maharashtra,480879,Dermatology,General Practice,207N00000X,Kasturba Medical College,2002,HOSP-0015,Y,2024-11-25,Active,0,1.0,135144.77,1.0,0.0,0.0,0.0,1.0,103892.64,1.0,1.0,1.0,11882.5,49166.57,0.0,0.0,1.0,0.0,4.0,205037.43,4.0,0.0,0.0,0.0,4.0,159798.09,4.0,4.0,4.0,7639.6475,15190.0175,0.0,0.0,4.0,0.0,9,3244485.28,9,0,1,82423.84,7,1761853.1900000002,9,9,9,57569.463333333326,99891.50555555554,0.0,1.0,7,0,12,7108591.0,10,2,1,82423.84,10,5422594.9799999995,12,11,12,127761.35916666668,132460.25749999998,0.0,1.0,8,2,70,38854005.43,55,15,4,1235789.87,64,32574755.62,69,41,62,119417.84271428571,113465.10100000001,1.0,3.0,50,14,34,30455223.009999998,22,12,0,0.0,30,21734102.11,34,27,30,154201.9285294118,186868.29588235295,0.0,0.0,18,12,135144.77,103892.64,51259.3575,39949.5225,360498.3644444444,251693.31285714288,592382.5833333334,542259.4979999999,555057.2204285715,508980.5565625,895741.8532352941,724470.0703333333,0
PRAC-1009,Aayush Ramaswamy,MCI/MAH/10926,24423848,2026-12-17,1964-04-08,Other,941841666102,98082317173,aayush.doc22@clinic.com,H.No. 918- Kar Marg,0,Nagpur,Maharashtra,456776,Pediatrics,General Surgery,208000000X,Kasturba Medical College,1993,HOSP-0010,Y,2005-11-21,Active,0,1.0,398615.35,1.0,0.0,0.0,0.0,1.0,404345.26,1.0,1.0,1.0,35380.18,120389.42,0.0,0.0,1.0,0.0,3.0,628797.6399999999,3.0,0.0,1.0,185205.3,2.0,436688.85000000003,3.0,3.0,3.0,28359.283333333336,49363.37333333333,0.0,1.0,2.0,0.0,6,2244991.41,6,0,1,185205.3,5,1918366.97,6,6,6,37065.958333333336,60567.181666666664,0.0,1.0,5,0,12,8444913.23,12,0,1,185205.3,11,7480604.44,12,12,12,114747.81916666667,78423.17,0.0,1.0,11,0,66,44418423.75,51,15,7,6325376.469999999,55,28861557.89,66,38,56,144671.73712121212,122909.25454545455,2.0,5.0,42,13,30,27402035.89,21,9,1,580218.45,27,19305189.35,30,22,27,141746.19499999998,212529.31166666665,1.0,0.0,20,7,398615.35,404345.26,209599.2133333333,218344.42500000002,374165.23500000004,383673.394,703742.7691666667,680054.9490909091,673006.4204545454,524755.598,913401.1963333334,715007.012962963,0
